Oracle execution counts for N=256
T-P instance ID,execution count
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
Average,1.0
Oracle execution times for N=256
Execution ID,execution time
0,11.88
1,12.06
2,11.66
3,12.24
4,11.99
5,12.06
6,12.14
7,12.21
8,12.2
9,12.1
Average,12.054
