Oracle execution counts for N=128
T-P instance ID,execution count
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
Average,1.0
Oracle execution times for N=128
Execution ID,execution time
0,5.53
1,5.41
2,5.43
3,5.39
4,5.42
5,5.34
6,5.43
7,5.44
8,5.34
9,5.49
Average,5.422
