Oracle execution counts for N=1024
T-P instance ID,execution count
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
Average,1.0
Oracle execution times for N=1024
Execution ID,execution time
0,72.69
1,73.07
2,72.64
3,72.96
4,73.12
5,73.12
6,72.5
7,72.42
8,72.64
9,72.58
Average,72.774
