Oracle execution counts for N=64
T-P instance ID,execution count
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
Average,1.0
Oracle execution times for N=64
Execution ID,execution time
0,0.95
1,0.97
2,0.94
3,0.96
4,0.95
5,0.95
6,0.96
7,0.95
8,0.95
9,0.95
Average,0.953
