Oracle execution counts for N=32
T-P instance ID,execution count
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
Average,1.0
Oracle execution times for N=32
Execution ID,execution time
0,0.32
1,0.3
2,0.31
3,0.32
4,0.32
5,0.32
6,0.32
7,0.32
8,0.32
9,0.33
Average,0.318
